Campus,Bldg,Building,Zone,Floor,Room,Room SQFT,FICM,FICM Description,Capacity,Beds,Space Type,Room Status,Dept,Dept Name,Unit,Unit Name
STORRS CAMPUS,0001,STORRS HALL,,00,SH001,571,210,Class Laboratory,8,,ASSIGNABLE,IN SERVICE,1318,Nursing Instruct and Research,1316,Nursing
STORRS CAMPUS,0001,STORRS HALL,,00,SH002,550,210,Class Laboratory,8,,ASSIGNABLE,IN SERVICE,1318,Nursing Instruct and Research,1316,Nursing
STORRS CAMPUS,0001,STORRS HALL,,00,SH003,138,310,Staff Office,,,ASSIGNABLE,IN SERVICE,1318,Nursing Instruct and Research,1316,Nursing
STORRS CAMPUS,0001,STORRS HALL,,00,SH004,397,210,Class Laboratory,8,,ASSIGNABLE,IN SERVICE,1318,Nursing Instruct and Research,1316,Nursing
STORRS CAMPUS,0001,STORRS HALL,,00,SH008,134,710,Central Computer or Telecommunications,,,ASSIGNABLE,IN SERVICE,1518,Network Engr and Design,1059,Information Technology Svcs
STORRS CAMPUS,0001,STORRS HALL,,00,SH010,117,315,Office Service,,,ASSIGNABLE,IN SERVICE,1318,Nursing Instruct and Research,1316,Nursing
STORRS CAMPUS,0001,STORRS HALL,,00,SH011,"1,151",110,Classroom,42,,ASSIGNABLE,IN SERVICE,1071,Registrar,2001,Academic Operations
STORRS CAMPUS,0001,STORRS HALL,,00,SH016,82,315,Office Service,,,ASSIGNABLE,IN SERVICE,1318,Nursing Instruct and Research,1316,Nursing
STORRS CAMPUS,0001,STORRS HALL,,00,SH017,127,315,Office Service,,,ASSIGNABLE,IN SERVICE,1318,Nursing Instruct and Research,1316,Nursing
STORRS CAMPUS,0001,STORRS HALL,,00,WW01,"1,281",110,Classroom,60,,ASSIGNABLE,IN SERVICE,1071,Registrar,2001,Academic Operations
STORRS CAMPUS,0001,STORRS HALL,,00,WW01A,25,715,Central Computer or Telecommunications Service,,,ASSIGNABLE,IN SERVICE,1518,Network Engr and Design,1059,Information Technology Svcs
