Manual_Intervention,Building_number,Building_Code,Short_building_name,Bldg_Description
,0001,STRS,STORRS,STORRS HALL
,0004,KNS,KOONS,KOONS HALL
,0006,HAWL,HAWLEY,HAWLEY ARMORY
,0007,KLIN,AGRICULTURAL ENGINEERING,"KLINCK, MERLE S. AGRICULTURAL ENGINEE"
1,0030,CISS,CISS,CENTER FOR INTERNATIONAL STUDENTS & SCHOLARS
,0037,HALL,HALL,HALL BUILDING
,0038,BCH,BEACH,BEACH HALL
,0040,ATWR,ATWATER,ATWATER LAB
,0060,ACS,CERAMIC STUDIO,ART CERAMIC STUDIO
,0130,MAN,MANCHESTER HALL,MANCHESTER HALL
,0131,WOOD,WOOD,WALTER CHILDS WOOD HALL
,0133,CAST,CASTLEMAN,CASTLEMAN BUILDING (ENG. I)
,0138,FSB,FAMILY STUDIES,FAMILY STUDIES BUILDING
,0175,YNG,YOUNG,YOUNG BUILDING
,0212,RHBA,HICKS,RATCLIFFE HICKS BUILDING & ARENA
,0213,SU,STUDENT UNION,STUDENT UNION
,0214,FG,FLORICULTURE,FLORICULTURE BUILDING
,0221,HJT,JORGENSEN,JORGENSEN CENTER FOR PERFORMING ART
,0222,WITE,WHITE,WHITE BUILDING and DAIRY BAR & CREAMERY
1,0232,PLNT,PLANETARIUM,PLANETARIUM
,0233,DRMU,DRAMA MUSIC,DRAMA MUSIC BUILDING
,0234,MUSB,MUSIC BUILDING,MUSIC BUILDING
,0235,ARJ,ARJONA,ARJONA BUILDING
,0236,MONT,MONTEITH,HENRY RUTHVEN MONTEITH BUILDING
,0237,SCHN,SCHENKER,ANDRE SCHENKER LECTURE HALL
,0238,AUST,AUSTIN,"AUSTIN, PHILLIP E (CLAS)"
,0239,E2,ENGINEERING II,ENGINEERING II
,0240,JONS,JONES,JONES BUILDING
1,0245,VDM,VDM,VDM
,0246,ROWE,ROWE,JOHN W. ROWE CENTER
,0247,GENT,GENTRY,"GENTRY, CHARLES B. (NEAG)"
,0252,TLS,TORREY,TORREY LIFE SCIENCES BUILDING
