Duplicate_Meeting_Flag,CTERM_TERM_CD,Term,Acad_Year,Class_Subject_Code,Class_Catalog_NBR,Class_Section,Short_Class_Description,Course_Description,Class_Component_Code,Class_Component,Day10_Enroll,Instruction_Mode_Code,Class_Subject,Instruction_Mode,Course_Topic_Description,Class_Acad_Org_Code,Class_Acad_Org,Class_Academic_Career_Code,Class_Academic_Career,Class_Academic_Group_Code,Class_Academic_Group,Enrollment_Cap,Room_Capacity_Request,Class_Type_Code,Class_Type_Descr,Course_Grading_Basis,Max_Credits,Min_Credits,Variable_Credits_Flag,Class_Campus_Code,Class_Campus,Class_Location,Building_Code,Room,Room_Type_Code,Room_Capacity,Class_Days,Class_Duration,Class_Start_Time,Class_End_Time,Class_Meeting_Start_Raw,Class_Meeting_End_Raw,CLASS_START_DATE,CLASS_END_DATE,Meeting_Pattern_Descr,Standard_Meeting_Pattern,Associated_Class,Number_of_PIs,Number_of_SIs,Number_of_TAs,Allow_Multi_Enroll_Flag,Equivalent_Course_ID,Equivalent_Course,Course_Fee_Flag,Allowable_FinAid_Credits,Course_Repeat_Limit,Autoenroll_Section_Key,Autoenroll_1,Autoenroll_2,CLASS_SID,CLASS_SESSION_CD,Course_ID,Course_Offer_SID,Course_Offer_Number,Class_Number,Course_Topic_ID,CLASS_SCHED_PRINT_INSTR,Course_SID,Class_Primary_Key,crosslist_dup,crosslist_id,Crosslisted_Enrollment_Cap,Crosslisted_Enrollment_Total,Crosslist_Combination_Type,crosslist_descr,CrossListed_Course_Flag
Class of Record,1243,Spring2024,2023,NRE,1235E,001,Environmental Conservation,Environmental Conservation,LEC,Lecture,75,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,80,80,N,Non-Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0212,201,CSRM,100,NYNYNNN,50,36600,39600,10:10:00 AM,11:00:00 AM,2024-01-16,2024-04-26,,,9999,1,,,N,,,N,3,1,1243_NRE_1235E_001,,,248723257,1,008127,34019735,1,10004,0,Y,,1243+10004+NRE+1235E+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,1235E,001D,Environmental Conservation,Environmental Conservation,DIS,Discussion,18,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,20,20,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,138,CSRM,20,NNYNNNN,75,34200,38700,09:30:00 AM,10:45:00 AM,2024-01-16,2024-04-26,,,1,1,1,,N,,,N,3,1,1243_NRE_1235E_001D,1243_NRE_1235E_001,,248724469,1,008127,34019735,1,10005,0,,,1243+10005+NRE+1235E+001D,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,1235E,002D,Environmental Conservation,Environmental Conservation,DIS,Discussion,18,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,20,20,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,138,CSRM,20,NNYNNNN,75,39600,44100,11:00:00 AM,12:15:00 PM,2024-01-16,2024-04-26,,,2,1,1,,N,,,N,3,1,1243_NRE_1235E_002D,1243_NRE_1235E_001,,248723258,1,008127,34019735,1,10006,0,,,1243+10006+NRE+1235E+002D,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,1235E,003D,Environmental Conservation,Environmental Conservation,DIS,Discussion,20,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,20,20,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,138,CSRM,20,NNYNNNN,75,55800,60300,03:30:00 PM,04:45:00 PM,2024-01-16,2024-04-26,,,3,1,1,,N,,,N,3,1,1243_NRE_1235E_003D,1243_NRE_1235E_001,,248724470,1,008127,34019735,1,10007,0,,,1243+10007+NRE+1235E+003D,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,1235E,004D,Environmental Conservation,Environmental Conservation,DIS,Discussion,19,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,20,20,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,138,CSRM,20,NNYNNNN,75,63000,67500,05:30:00 PM,06:45:00 PM,2024-01-16,2024-04-26,,,4,1,1,,N,,,N,3,1,1243_NRE_1235E_004D,1243_NRE_1235E_001,,248723259,1,008127,34019735,1,10008,0,,,1243+10008+NRE+1235E+004D,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,3335,001,Wildlife Management,Wildlife Management,LSA,Lecture - Stand Alone,29,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,132,CSRM,45,NNYNYNN,75,55800,60300,03:30:00 PM,04:45:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,00531,NRME 232 w/skill codes,N,3,1,1243_NRE_3335_001,,,248724471,1,008144,34023670,1,10009,0,Y,,1243+10009+NRE+3335+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,3305,001,African Field Ecology,African Field Ecology and Renewable Resources Management,LSA,Lecture - Stand Alone,30,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,4,4,,STORR,Storrs,STORRS,0175,132,CSRM,45,NNNYNNN,120,61200,68400,05:00:00 PM,07:00:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,4,1,1243_NRE_3305_001,,,248723260,1,013035,34026462,2,10010,0,Y,,1243+10010+NRE+3305+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,2000,001,Introduction to Geomatics,Introduction to Geomatics,LEC,Lecture,59,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,60,60,N,Non-Enrollment Section,Graded,4,4,,STORR,Storrs,STORRS,0175,327,CSRM,61,NYNYNYN,50,40500,43500,11:15:00 AM,12:05:00 PM,2024-01-16,2024-04-26,,,9999,1,,,N,,,N,4,1,1243_NRE_2000_001,,,248724475,1,013395,34021564,1,10011,0,Y,,1243+10011+NRE+2000+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,2000,001L,Introduction to Geomatics,Introduction to Geomatics,LAB,Laboratory,20,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,20,20,E,Enrollment Section,Graded,4,4,,STORR,Storrs,STORRS,0175,231,CMLB,20,NYNNNNN,115,48300,55200,01:25:00 PM,03:20:00 PM,2024-01-16,2024-04-26,,,1,1,1,,N,,,N,4,1,1243_NRE_2000_001L,1243_NRE_2000_001,,248723261,1,013395,34021564,1,10012,0,,,1243+10012+NRE+2000+001L,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,2000,002L,Introduction to Geomatics,Introduction to Geomatics,LAB,Laboratory,20,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,20,20,E,Enrollment Section,Graded,4,4,,STORR,Storrs,STORRS,0175,231,CMLB,20,NNYNNNN,115,50400,57300,02:00:00 PM,03:55:00 PM,2024-01-16,2024-04-26,,,2,1,1,,N,,,N,4,1,1243_NRE_2000_002L,1243_NRE_2000_001,,248724479,1,013395,34021564,1,10013,0,,,1243+10013+NRE+2000+002L,,,,,,,
