Term_Code,Subject_Code,Division,Catalog_Number,Section,Component_Code,Class_NBR,CLASS_DESCR,Day10_Enroll,class_duration_weekly,Enrl_Cap,Instruction_Mode,TL_Building,TL_Room,SA Facility ID,SA Building Code,SA Building Description,SA Building Short Description,SA Facility Room Number,SA Facility Description,SA Facility Short Description,SA Facility Location,SA Facility Academic Organization,SA Facility Type,SA Facility Capacity,Class_Start_Time,Class_End_Time,Class_Days,AGNROther,Accounting,AfricanaStudiesIns,AgriculturalResour,AlliedHealthScienc,AnimalScience,Anthropology,ArtArtHistory,BUSNOther,BiologicalSciences,BiomedicalEngineer,CenterforExcellenc,ChemicalBiomolecul,Chemistry,CivilEnvironmental,CognitiveScience,Communication,Computing,CurriculumInstruct,DigitalMediaDesign,DramaticArts,ENGROther,EarthSciences,EcologyEvolutionar,Economics,EducationalLeaders,EducationalPsychol,ElectricalComputer,EngineeringPhysics,English,Exploratory,Finance,GeographySustainab,History,HumanDevelopmentFa,HumanRights,Individualized,InstituteforSystem,Interdisciplinary,InternationalStudi,Journalism,Kinesiology,LatinoLatinAmerica,Law,Linguistics,LiteraturesCulture,Management,MarineSciences,MaritimeStudies,Marketing,MaterialsScienceEn,Mathematics,MechanicalAerospac,MolecularCellBiolo,Music,NaturalResourcesth,NonDegree,Nursing,NutritionalScience,OfficeofEnrichment,OperationsInformat,PathobiologyVeteri,PharmaceuticalScie,PharmacyPractice,Philosophy,Physics,PhysiologyNeurobio,PlantScienceLandsc,PoliticalScience,PolymerSciencePhD,PreBachelorofSocia,PreIndividualized,PrePharmacy,PreSportManagement,PreTeaching,PsychologicalScien,PublicPolicy,RoboticsEngineerin,SocialCriticalInqu,SocialWork,Sociology,SpeechLanguageHear,StatisticalDataSci,Statistics,UConnHealthOther,Sum_Enrollment
1248,AAAS,LD,1001,001,LSA,10995,Pathways to Asian Studies,98,2:30,100,P,BPB,131,038400002,0384,Biology/Physics Building,BPB,131,BPB 131,BPB 131,STORRS,,CSRM,148,10:10:00 AM,11:00:00 AM,NYNYNYN,,1,,,2,,,,,5,2,,,4,4,1,3,8,,1,,,,2,13,,,2,,1,9,1,3,1,,,,,,,,,,,1,,,,,,1,1,4,1,,,,12,1,,,,1,,1,,2,,1,,,,,,,8,,,,,1,,,,,98
1248,AAAS,LD,2010,701,LSA,14553,Intro to Refugee Studies,8,2:30,40,P,HTB,228,340100016,3401,Hartford Times Building,HTB,228,HTB 228,HTB 228,HARTFORD,,CSRM,46,03:30:00 PM,04:45:00 PM,NNYNYNN,1,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,8
1248,AAAS,LD,2136,001,LSA,6909,Asian Theatre and Performance,11,2:30,11,P,ARTB,107,036500005,0365,Art Building,ARTB,107,ARTB 107,ARTB 107,STORRS,,CSRM,34,11:00:00 AM,12:15:00 PM,NNYNYNN,,,,,2,,,,,1,1,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,11
1248,AAAS,LD,2201,331,LSA,1344,Intro Asian American Studies,15,2:30,15,HB,WTBY,203,391100006,3911,Waterbury Downtown Campus,WTBY,203,WTBY 203,WTBY 203,WATERBURY,,CSRM,30,03:35:00 PM,06:05:00 PM,NNNYNNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,7,,,,,,,,,,15
1248,AAAS,LD,2530,001,LSA,8500,Asian American Exp Since 1850,20,2:30,20,P,SU,428,021300006,0213,Student Union,SU,428,SU 428,SU 428,STORRS,UNIVERSITY,CONF,40,10:10:00 AM,11:00:00 AM,NYNYNYN,,,,,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,2,,,2,1,1,,,,,,,,,,,,,,2,1,,,2,,,,,,,,,,,,,,,1,,,,,,,3,,,,,1,,,,,20
1248,AAAS,LD,2811,001,LSA,8579,Early Modern India,9,2:30,20,P,JONS,229,024000004,0240,Roy E. Jones Building,JONS,229,JONS 229,JONS 229,STORRS,,CSRM,40,03:30:00 PM,04:45:00 PM,NNYNYNN,,,,,,,,1,,,,,,,,1,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,9
1248,AAAS,LD,2812,701,LSA,11641,Modern India,24,2:30,25,P,HTB,208,340100006,3401,Hartford Times Building,HTB,208,HTB 208,HTB 208,HARTFORD,,CSRM,50,01:25:00 PM,02:15:00 PM,NYNYNYN,1,,,,,,,,,3,,,,,,,,,,,,,,1,1,,,,,,5,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,3,,2,,,1,,2,,,,,,,,,,24
1248,AAAS,LD,2842,001,LSA,8556,History of Vietnam,16,2:30,20,P,SHH,112,048600010,0486,Susan V. Herbst Hall,SHH,112,SHH 112,SHH 112,STORRS,,CSRM,70,03:35:00 PM,04:50:00 PM,NYNYNNN,,,,,1,1,,,,,,,,,,,,3,,,1,,,,,,,,,2,2,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,16
1248,AAAS,LD,2866,001,LSA,8558,China and the West,20,2:30,20,P,MCHU,306,048700016,0487,Lawrence D. McHugh Hall,MCHU,306,MCHU 306,MCHU 306,STORRS,,CSRM,70,09:30:00 AM,10:45:00 AM,NNYNYNN,,,,,,,,,,,,,,,,,,1,,,,,,1,6,,,,,1,3,,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,,20
1248,AAAS,UD,3212,001,LSA,10986,Asian American Literature,10,2:30,15,P,SU,428,021300006,0213,Student Union,SU,428,SU 428,SU 428,STORRS,UNIVERSITY,CONF,40,11:00:00 AM,12:15:00 PM,NNYNYNN,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,10
1248,AAAS,UD,3712,001,LSA,8506,The Middle East Crucible,8,2:30,10,P,SHH,108,048600006,0486,Susan V. Herbst Hall,SHH,108,SHH 108,SHH 108,STORRS,,CSRM,40,02:00:00 PM,03:15:00 PM,NNYNYNN,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,8
1248,AAAS,UD,3808,001,LSA,8505,East Asia to the Mid 19th Cent,3,2:30,20,P,YNG,132,017500004,0175,Wilfred B. Young Building,YNG,132,YNG 132,YNG 132,STORRS,,CSRM,45,12:30:00 PM,01:45:00 PM,NNYNYNN,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3
1248,AAAS,UD,3998,003,LSA,10990,Variable Topics,34,2:30,40,P,SU,428,021300006,0213,Student Union,SU,428,SU 428,SU 428,STORRS,UNIVERSITY,CONF,40,05:00:00 PM,07:30:00 PM,NNYNNNN,,2,,,5,,,1,,1,,,,,1,1,,1,,,,,,1,,,,,,,2,1,1,,,,,,,,,,,,,1,,,,1,,,1,2,,,,,,,,,2,,,,5,,3,,,,,,,2,,,,,,,,,,34
1248,ACCT,LD,2001,001,LEC,9714,Prin. of Financial Accounting,279,2:30,300,P,SCHN,151,023700001,0237,Andre Schenker Lecture Hall,SCHN,151,SCHN 151,SCHN 151,STORRS,,CSRM,305,09:30:00 AM,10:45:00 AM,NNYNYNN,,22,,,2,,1,,12,4,,,,,3,,1,4,,1,,3,,,18,1,,,,,42,68,,,,,,,,,,1,,,,,18,,,13,,35,,,,,,,1,,6,,1,,,,2,,4,,,,,4,,4,,,,,,,,7,,278
1248,ACCT,LD,2001,001D,DIS,9715,Prin. of Financial Accounting,56,0:50,75,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,08:00:00 AM,08:50:00 AM,NNNNNYN,,1,,,2,,,,,,,,,,,,,1,,,,,,,7,,,,,,14,9,,,,,,,,,,,,,,,3,,,1,,9,,,,,,,,,2,,,,,,2,,2,,,,,1,,,,,,,,,,2,,56
1248,ACCT,LD,2001,002,LEC,9716,Prin. of Financial Accounting,262,2:30,300,P,SCHN,151,023700001,0237,Andre Schenker Lecture Hall,SCHN,151,SCHN 151,SCHN 151,STORRS,,CSRM,305,11:00:00 AM,12:15:00 PM,NNYNYNN,,29,,1,4,1,,,13,2,,,1,,1,,4,6,,,,,,,21,,,,,2,51,59,,,,,,,,,,1,,,,1,14,,,11,,15,,1,,,2,,,,9,,,,,,1,,5,,,,,2,,3,,,,,,1,,1,,262
1248,ACCT,LD,2001,002D,DIS,9717,Prin. of Financial Accounting,75,0:50,75,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,09:05:00 AM,09:55:00 AM,NNNNNYN,,7,,,,,1,,5,1,,,,,1,,,1,,,,1,,,3,,,,,,7,21,,,,,,,,,,1,,,,,6,,,9,,5,,,,,,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,2,,75
1248,ACCT,LD,2001,003D,DIS,9718,Prin. of Financial Accounting,64,0:50,65,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,10:10:00 AM,11:00:00 AM,NNNNNYN,,7,,,,,,,4,2,,,,,,,1,1,,1,,1,,,3,1,,,,,10,15,,,,,,,,,,,,,,,2,,,3,,4,,,,,,,1,,2,,,,,,,,2,,,,,1,,1,,,,,,,,1,,63
1248,ACCT,LD,2001,004D,DIS,9719,Prin. of Financial Accounting,74,0:50,75,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,11:15:00 AM,12:05:00 PM,NNNNNYN,,6,,,,,,,3,1,,,,,2,,,1,,,,,,,5,,,,,,11,21,,,,,,,,,,,,,,,7,,,,,12,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,2,,74
1248,ACCT,LD,2001,005D,DIS,9720,Prin. of Financial Accounting,74,0:50,75,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,12:20:00 PM,01:10:00 PM,NNNNNYN,,13,,1,2,,,,4,,,,,,,,,1,,,,,,,6,,,,,,11,12,,,,,,,,,,1,,,,1,4,,,3,,5,,1,,,,,,,3,,,,,,,,3,,,,,2,,1,,,,,,,,,,74
1248,ACCT,LD,2001,006D,DIS,9721,Prin. of Financial Accounting,64,0:50,65,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,01:25:00 PM,02:15:00 PM,NNNNNYN,,5,,,1,,,,4,,,,,,,,1,1,,,,,,,3,,,,,1,12,14,,,,,,,,,,,,,,,5,,,4,,4,,,,,2,,,,5,,,,,,,,,,,,,,,1,,,,,,1,,,,64
1248,ACCT,LD,2001,007D,DIS,9722,Prin. of Financial Accounting,71,0:50,75,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,02:30:00 PM,03:20:00 PM,NNNNNYN,,1,,,,1,,,3,1,,,,,1,,2,2,,,,,,,10,,,,,,20,17,,,,,,,,,,,,,,,3,,,2,,3,,,,,,,,,1,,,,,,1,,1,,,,,,,1,,,,,,,,1,,71
1248,ACCT,LD,2001,008D,DIS,9723,Prin. of Financial Accounting,43,0:50,75,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,03:35:00 PM,04:25:00 PM,NNNNNYN,,6,,,1,,,,2,1,,,1,,,,1,2,,,,,,,2,,,,,1,7,14,,,,,,,,,,,,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
1248,ACCT,LD,2001,013D,DIS,9724,Prin. of Financial Accounting,10,0:50,10,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,10:10:00 AM,11:00:00 AM,NNNNNYN,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,10
1248,ACCT,LD,2001,016D,DIS,9725,Prin. of Financial Accounting,10,0:50,10,P,BUSN,106,041400001,0414,School of Business,BUSN,106,BUSN 106,BUSN 106,STORRS,,CSRM,136,01:25:00 PM,02:15:00 PM,NNNNNYN,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,10
1248,ACCT,LD,2001,301,LSA,9726,Prin. of Financial Accounting,20,2:30,35,P,WREC,302,391300005,3913,Waterbury Rectory Building,WREC,302,WREC 302,WREC 302,WATERBURY,,CSRM,35,02:00:00 PM,03:15:00 PM,NNYNYNN,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
1248,ACCT,LD,2001,701,LSA,9727,Prin. of Financial Accounting,33,2:30,35,P,GBLC,501,732400017,7324,Graduate Business Learning Ctr,GBLC,501,GBLC 501,GBLC 501,HARTMBA,,CSRM,46,09:30:00 AM,10:45:00 AM,NNYNYNN,,,,,,,,,2,,,1,,1,,,,,,,,,,,5,,,,,,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,33
1248,ACCT,LD,2001,702,LSA,9728,Prin. of Financial Accounting,32,2:30,35,P,GBLC,501,732400017,7324,Graduate Business Learning Ctr,GBLC,501,GBLC 501,GBLC 501,HARTMBA,,CSRM,46,11:00:00 AM,12:15:00 PM,NNYNYNN,,,,,,,,,,1,,,,,,,1,,,,,,,,3,,,,,1,18,2,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,32
