Subject_Code,Subject_Course,CLASS_DESCR,building,building_code,Room,Term_Code,TERM,Catalog_Number,Section,class_duration_weekly,Duration_minutes,Division,Component_Code,Class_NBR,Day10_Enroll,WSCH_Max,Enrl_Cap,Capacity,Room_Description,ACES,AGNROther,AcademicServices,Accounting,AfricanaStudiesIns,AgriculturalResour,AlliedHealthScienc,AmericanStudies,AnimalScience,Anthropology,ArtArtHistory,BUSNOther,BiologicalSciences,BiomedicalEngineer,CenterforExcellenc,ChemicalBiomolecul,Chemistry,CivilEnvironmental,CognitiveScience,Communication,ComputerScienceEng,Computing,CurriculumInstruct,DigitalMediaDesign,DramaticArts,ENGROther,EarthSciences,EcologyEvolutionar,Economics,EducationalLeaders,EducationalPsychol,ElectricalComputer,EngineeringPhysics,English,EnvironmentalStudi,Exploratory,Finance,Geography,GlobalAffairs,History,HumanDevelopmentFa,Individualized,Interdisciplinary,Journalism,Kinesiology,LatinoLatinAmerica,Linguistics,LiteraturesCulture,Management,MarineSciences,Marketing,MaterialsScienceEn,Mathematics,MechanicalEngineer,MechanicalAerospac,MolecularCellBiolo,Music,NaturalResourcesth,No_Department,NonDegree,Nursing,NutritionalScience,OfficeofEnrichment,OperationsInformat,PathobiologyVeteri,PharmaceuticalScie,PharmacyPractice,Philosophy,Physics,PhysiologyNeurobio,PlantScienceLandsc,PoliticalScience,PolymerSciencePhD,PreBachelorofSocia,PreIndividualized,PrePharmacy,PreSportManagement,PreTeaching,PsychologicalScien,RoboticsEngineerin,SocialWork,Sociology,SpeechLanguageHear,Statistics,UConnHealthOther,UrbanCommunityStud,WomenGenderSexuali,Sum_Enrollment,Bldg_Description
ART,ART_3520,Lithography,342,BISH,2,1238,Fall 2023,3520,1,5:30,330,UD,LAB,2929,5,77,10,14,Class Laboratory,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,BISHOP CENTER
ART,ART_2510,"Basic Studio, Printmaking",342,BISH,2,1238,Fall 2023,2510,1,5:30,330,LD,LAB,2922,12,77,12,14,Class Laboratory,,,,,,,,,1,,9,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,BISHOP CENTER
ART,ART_3530,Printmaking Workshop,342,BISH,2,1238,Fall 2023,3530,1,2:45,165,UD,LAB,2930,9,39,10,14,Class Laboratory,,,,,,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,BISHOP CENTER
ART,ART_2510,"Basic Studio, Printmaking",342,BISH,2,1238,Fall 2023,2510,2,5:30,330,LD,LAB,2923,12,77,12,14,Class Laboratory,,1,,,,,,,,,7,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,BISHOP CENTER
DMD,DMD_4340,Adv Compositing for Visual Eff,342,BISH,5,1238,Fall 2023,4340,1,5:00,300,UD,LAB,8681,6,80,14,16,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,BISHOP CENTER
DMD,DMD_5350,Simula & Tech Directing,342,BISH,5,1238,Fall 2023,5350,1,5:00,300,GD,LAB,7587,1,80,1,16,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BISHOP CENTER
DMD,DMD_3350,3D Simulations,342,BISH,5,1238,Fall 2023,3350,1,5:00,300,UD,LAB,7586,10,80,15,16,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,BISHOP CENTER
DMD,DMD_1101,Design Lab I,342,BISH,5,1238,Fall 2023,1101,5,5:00,300,LD,LAB,11693,14,80,16,16,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,BISHOP CENTER
DMD,DMD_3220,Broadcast Graphics & Title Seq,342,BISH,5,1238,Fall 2023,3220,1,5:00,300,UD,LAB,11696,7,80,15,16,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,BISHOP CENTER
DMD,DMD_1070,Web Design I,342,BISH,5,1238,Fall 2023,1070,1,5:00,300,LD,LAB,6009,15,80,15,16,Class Laboratory,,,,,,,,,,,,,,,,,,,,,1,,,13,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,BISHOP CENTER
PNB,PNB_3178,Intro to Drosophila Models PNB,252,TLS,7,1238,Fall 2023,3178,1,3:20,200,UD,LAB,14083,15,80,15,24,Class Laboratory,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,15,TORREY LIFE SCIENCES BUILDING
SAAS,SAAS_ 272,Sustainable Animal Management,222,WITE,10,1238,Fall 2023,272,001L,1:55,115,LD,LAB,8350,10,65,20,34,Class Laboratory,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,10,WHITE BUILDING and DAIRY BAR & CREAMERY
ANSC,ANSC_3272,Laboratory Animal Science,222,WITE,10,1238,Fall 2023,3272,001L,1:55,115,UD,LAB,6831,20,65,20,34,Class Laboratory,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,WHITE BUILDING and DAIRY BAR & CREAMERY
ART,ART_2110,Graph Design:Process&Thinking,342,BISH,12,1238,Fall 2023,2110,1,5:30,330,LD,LAB,2927,16,110,16,20,Class Laboratory,,,,,,,,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,BISHOP CENTER
ART,ART_3901,Advanced Studio Art Projects,342,BISH,12,1238,Fall 2023,3901,1,5:30,330,UD,LAB,8287,6,110,10,20,Class Laboratory,,,,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,BISHOP CENTER
BIOL,BIOL_1108,Principles of Biology II,252,TLS,91,1238,Fall 2023,1108,005L,2:45,165,LD,LAB,4097,20,66,20,24,Class Laboratory,,1,,,,,,,,,,,11,,,,,,,,,,,1,,,,1,,,,,,,3,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,TORREY LIFE SCIENCES BUILDING
BIOL,BIOL_1108,Principles of Biology II,252,TLS,91,1238,Fall 2023,1108,002L,2:45,165,LD,LAB,12763,15,66,20,24,Class Laboratory,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,TORREY LIFE SCIENCES BUILDING
